"metadata__resultset__offset","metadata__resultset__count","metadata__resultset__limit","results__date","results__datatype","results__station","results__attributes","results__value"
"1","4932","1000","2012-01-01T00:00:00","TAVG","GHCND:USC00170100",",7","-2.7"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00170177","1,7","-6.1"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00170200","2,7","-13.5"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00170217",",7","-9.0"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00170409",",7","-4.5"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00170480",",7","-4.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00170583","1,7","-6.2"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00170814",",7","-9.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00170833","1,7","-9.3"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00170844",",7","-6.2"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00171131",",7","-2.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00171318",",7","-9.2"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00171628",",7","-6.2"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00171975","2,7","-8.0"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00172048",",7","-4.9"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00172443",",7","-4.2"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00172700",",7","-9.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00172765",",7","-7.2"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00172878",",7","-11.7"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00173046",",7","-4.8"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00173261",",7","-5.1"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00173295",",K","-4.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00173417","1,7","-7.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00173567",",7","-6.9"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00173570",",7","-6.7"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00173862",",7","-5.7"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00173944",",7","-8.7"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00174086",",7","-9.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00174193",",7","-3.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00174324","2,7","-7.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00174550",",7","-5.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00174745",",7","-6.5"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00174781",",7","-8.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00174878","1,7","-5.0"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00174927",",7","-7.0"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00175261",",7","-8.7"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00175305",",7","-8.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00175347","2,7","-7.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00175460",",7","-9.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00175675",",7","-3.7"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00175736",",7","-6.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00176011",",7","-5.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00176594","1,7","-9.2"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00176707",",7","-6.7"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00176721",",7","-11.0"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00176856",",7","-5.0"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00176881",",7","-1.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00176937",",7","-9.1"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00177037",",7","-9.2"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00177039",",7","-9.5"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00177238",",7","-5.3"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00177336",",7","-6.1"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00177479","2,7","-4.0"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00178792",",7","-7.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00178817",",7","-5.3"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00178942",",7","-8.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00178965","1,7","-13.0"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00178998","2,7","-5.3"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00179151",",7","-5.8"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00179547",",7","-3.1"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00179593",",7","-3.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00179720",",7","-4.1"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00179891",",7","-6.3"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USR0000MMCF","4,U","-4.1"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USR0000MMOO",",U","-5.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USR0000MRCA",",U","-1.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USR0000MSUN",",U","-5.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USW00004836",",W","-11.5"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USW00014605",",X","-5.1"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USW00014606",",X","-5.1"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USW00014607",",X","-10.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USW00014609",",X","-8.9"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USW00014610",",X","-7.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USW00014764",",X","-2.8"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USW00054772",",W","-6.1"
